Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Class
389,23,418,6,2508,250,2,5,668,500,2,10,338,2,188,2,2,4,0,20,0,240,8574,4,5,17148,1
389,6,0,2,0,483,2,9.66,483,500,2,10,94,2,0,2,2,4,0,20,0,200,2554,4,5,5108,0
389,6,51,2,102,23,2,0.46,74,500,2,10,0,2,7050,2,2,4,0,20,0,200,1548,4,5,3096,0
389,6,0,2,0,1080,6,64.8,1080,600,6,36,1175,6,0,2,2,4,0,20,0,440,17530,4,5,35060,1
389,6,0,2,0,8,2,0.16,8,500,2,10,0,2,590,2,2,4,0,20,0,200,1416,4,5,2832,0
389,6,0,2,0,83,2,1.66,83,500,2,10,295,2,26970,2,2,4,0,20,0,200,2156,4,5,4312,0
389,7,110,4,440,741,4,29.64,851,500,2,10,4495,6,3116,2,2,4,0,20,0,320,31774,4,5,63548,1
389,8,850,6,5100,1203,6,72.18,2053,550,4,22,779,4,2936,2,2,4,0,20,0,420,18034,4,5,36068,1
389,8,840,6,5040,1105,6,66.3,1945,550,4,22,734,4,386,2,2,4,0,20,0,420,17206,4,5,34412,1
389,8,398,6,2388,99,2,1.98,497,500,2,10,193,2,884,2,2,4,0,20,0,240,4372,4,5,8744,0
389,8,543,6,3258,1077,6,64.62,1620,500,2,10,442,2,192,2,2,4,0,20,0,360,12004,4,5,24008,1
389,8,1538,6,9228,4014,6,240.84,5552,500,2,10,96,2,6258,2,4,8,1,40,40,400,35704,12,5,214224,1
389,8,547,6,3282,763,4,30.52,1310,500,2,10,1043,6,0,2,2,4,1,40,40,360,14392,8,5,57568,1
389,8,109,4,436,35,2,0.7,144,500,2,10,0,2,1.4,2,2,4,0,20,0,220,1906,4,5,3812,0
389,8,0,2,0,84,2,1.68,84,500,2,10,0.7,2,3600,2,2,4,0,20,0,200,1569.4,4,5,3138.8,0
389,13,195,4,780,901,4,36.04,1096,500,2,10,900,4,24768,2,2,4,0,20,0,300,9384,4,5,18768,1
389,37,854,6,5124,3163,6,189.78,4017,500,2,10,4128,6,8418,2,2,4,1,40,40,420,50670,8,5,202680,1
389,37,418,6,2508,483,2,9.66,901,550,4,22,1403,6,0,2,2,4,0,20,0,320,14492,4,5,28984,1
389,37,181,4,724,103,2,2.06,284,500,2,10,0,2,37908,2,2,4,0,20,0,220,2330,4,5,4660,0
389,37,486,6,2916,4678,6,280.68,5164,550,4,22,6318,6,20544,2,2,4,0,20,0,440,71492,4,5,142984,1
389,24,626,6,3756,1410,6,84.6,2036,500,2,10,3424,6,2,2,2,4,1,40,40,420,34560,8,5,138240,1
389,3,2,2,4,594,4,23.76,596,500,2,10,1,2,123114,2,2,4,0,20,0,260,3782,4,5,7564,0
389,3,531,6,3186,2279,6,136.74,2810,500,2,10,20519,6,20,2,2,4,1,40,40,420,141774,8,5,567096,1
389,3,94,2,188,1,2,0.02,95,500,2,10,10,2,6696,2,2,4,0,20,0,200,1610,4,5,3220,0
389,4,578,6,3468,5792,6,347.52,6370,500,2,10,1116,6,250,2,2,4,0,20,0,400,46316,4,5,92632,1
389,4,742,6,4452,224,2,4.48,966,500,2,10,125,2,1.4,2,2,4,0,20,0,240,6550,4,5,13100,1
