variance,skewness,curtosis,entropy,Class
36216,86661,-28073,-44699,0
45459,81674,-24586,-146210,0
38660,-26383,19242,10645,0
34566,95228,-40112,-359440,0
3292.4,-44552,45718,-98880,0
43684,96718,-39606,-316250,0
35912,30129,7288.8,56421,0
20922,-68100,84636,-60216,0
32032,57588,-7534.5,-61251,0
15356,91772,-22718,-73535,0
12247,87779,-22135,-80647,0
39899,-27066,23946,86291,0
18993,76625,1539.4,-311080,0
-15768,108430,25462,-293620,0
34040,87261,-29915,-57242,0
46765,-33895,34896,147710,0
26719,30646,3715.8,58619,0
8035.5,28473,43439,60170,0
14479,-48794,83428,-210860,0
52423,110272,-43530,-410130,0
57867,78902,-26196,-48708,0
3292,-44552,45718,-98880,0
39362,101622,-38235,-401720,0
9358.4,88855,-16831,-165990,0
44338,98870,-46795,-374830,0
7057,-54981,83368,-287150,0
11432,-37413,55777,-63578,0
-3821.4,83909,21624,-374050,0
65633,98187,-44113,-322580,0
48906,-33584,34202,109050,0
-2481.1,-1779.7,49068,15429,0
14884,36274,33080,48921,0
42969,76170,-23874,-96164,0
-9651.1,94111,17305,-486290,0
-16162,8090.8,81628,60817,0
24391,64417,-8074.3,-69139,0
26881,60195,-4664.1,-69268,0
36289,8132.2,16277,77627,0
45679,31929,-21055,29653,0
34805,97008,-37541,-343790,0
41711,87220,-30224,-59699,0
-2062,92207,-37044,-681030,0
-68.919,92931,-4124.3,-196380,0
9644.1,58395,23235,6636.5,0
28561,69176,-7937.2,48403,0
-7869,95663,-37867,-750340,0
20843,66258,4838.2,-221340,0
-7869,95663,-37867,-750340,0
39102,60650,-24534,-68234,0
16349,32860,28753,8705.4,0
43239,-48835,34356,-57760,0
52620,39834,-15572,101030,0
31452,58250,-5143.9,-149440,0
25490,61499,-11605,-123710,0
49264,54960,-24774,-50648,0
48265,8028.7,16371,118750,0
25635,67769,-6197.9,38576,0
58070,50097,-22384,43878,0
31377,-41096,45701,98963,0
-7828.9,113603,-3764.4,-704950,0
28880,4469.6,45907,-24398,0
4966.5,55270,17785,-47156,0
42586,112962,-40943,-434570,0
17939,-11174,15454,-26079,0
54021,31039,-11536,156510,0
25367,25990,20938,20085,0
46054,-40765,27587,31981,0
24235,95332,-30789,-277460,0
10009,77846,-2821.9,-266080,0
1232.6,89848,-9351,-243320,0
39529,-23548,23792,48274,0
41373,4924.8,10930,182760,0
47181,100153,-39486,-385820,0
41654,-34495,36430,108790,0
44069,109072,-45775,-442710,0
23066,35364,5755.1,41938,0
37935,79853,-25477,-187200,0
491.75,61437,17828,-72113,0
2483.5,76439,9885,-87371,0
11317,39647,33979,84351,0
28033,90862,-33668,-102240,0
44682,22907,9576.6,83058,0
50185,85978,-29375,-128100,0
18664,77763,-2384.9,-296340,0
32450,66300,-6343.5,86937,0
40296,26756,8068.5,71679,0
-11313,19037,75339,102200,0
8760.3,68141,8419.8,-17156,0
41197,-27956,20707,67412,0
38027,8152.9,21041,102450,0
14806,76377,-27876,-103410,0
40632,35840,7254.5,39481,0
43064,82068,-27824,-143360,0
24486,-63175,79632,20602,0
32718,17837,21161,61334,0
-6447.2,-46062,83470,-270990,0
