Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
28395,610291,208178116.7,173888747,119719142.4,549812187,28715,190141097.3,763922518,988855999,958027126,913357755,7331506,3147289,834222388,998723889
28734,638018,200524795.7,182734419.4,109735646.1,411785251,29172,191272750.5,783968133,984985603,887033637,953860842,6978659,3563624,909850506,998430331
29380,624110,212826129.9,175931142.6,120971265.6,562727317,29690,193410904.1,778113248,989558774,947849473,908774239,7243912,3047733,825870617,999066137
30008,645884,210557999,182516515.7,115363805.9,498615976,30724,195467061.8,782681273,976695743,903936374,928328835,7016729,3214562,861794425,994198849
30140,620134,201847882.2,190279278.8,106079802,333679658,30417,195896503,773098035,990893250,984877069,970515523,6697010,3664972,941900381,999166059
30279,634927,212560556.4,181510181.6,117106684.9,520400660,30600,196347702.2,775688485,989509804,943851783,923725952,7020065,3152779,853269634,999235781
30477,670033,211050155.3,184039050.1,114676833.6,489477894,30970,196988633.2,762401501,984081369,853079869,933373552,6924899,3242016,871186188,999048736
30519,629727,212996755.1,182737203.8,116559053.5,513759558,30847,197124320.3,770681818,989366875,967109244,925480392,6979152,3158285,856513956,998344560
30685,635681,213534145.2,183157146.3,116585210.8,514080860,31044,197659696,771561479,988435769,954239808,925658498,6958910,3151550,856843654,998952981
30834,631934,217227812.8,180897468.6,120083390,553642225,31120,198139012.1,783682806,990809769,970278230,912125430,7045074,3008040,831972800,999061142
30917,640765,213560089.4,184439870.9,115788461.8,504102365,31280,198405511.5,770805285,988395141,946258180,929038343,6907529,3174220,863112242,999384389
31091,638558,210486254.9,188326847.6,111766462.2,446621924,31458,198963038.5,786377317,988333651,958172836,945254305,6770006,3333984,893505700,998639711
31107,640594,214648548.5,184969252.6,116045529.5,507365875,31423,199014226.9,761046142,989943672,952581757,927163162,6900329,3145388,859631529,997563959
31158,642626,216484836.2,183644312.2,117882679.7,529514251,31492,199177302.3,798759229,989394132,948119004,920051980,6947970,3071052,846495646,997871751
31158,641105,212066975.1,187192960.1,113287900.9,469924157,31474,199177302.3,781313473,989959967,952623101,939218858,6806181,3267010,882132064,999348898
31178,636888,212975925.2,186562088.2,114158201.8,482352224,31520,199241216.9,764110482,989149746,965899596,935510513,6830968,3227429,875179919,999089658
31202,644454,215640694.7,184471684.2,116896365.7,517871223,31573,199317887.5,779192888,988249454,944079243,924305534,6911118,3111647,854340720,998693253
31203,639782,215067737,184874875.9,116331511.2,510946829,31558,199321081.5,762984155,988750871,957948542,926782809,6892534,3136682,858926376,999202033
31272,638666,212450318.9,187535939,113285122.9,469883494,31593,199541341.7,770322199,989839521,963425036,939237666,6793627,3261246,882167393,999364415
31335,635011,216790092.3,184163440.3,117716139.5,527586710,31599,199742236.7,774277242,991645305,976510834,921362386,6918465,3075469,848908647,999302487
31374,636401,219865394,182008863.7,120799278.4,560994520,31604,199866499.1,769196823,992722440,973459862,909040279,7007885,2951884,826354229,998229946
31530,638857,213785654.3,188066482.3,113675574.6,475535642,31791,200362778.1,768949371,991790129,970792739,937213391,6780389,3226921,878368941,998490940
31573,674103,217307026.1,185448250.7,117179334.5,521268390,32197,200499357,756964757,980619312,873118507,922654737,6882685,3076767,851291764,997538024
31637,656711,229719254.6,175510446,130886371.7,645190802,32045,200702465,761823348,987267905,921842182,873685862,7261095,2609775,763326986,999090996
31675,657431,236752632.1,171210559.2,138281560,690678219,32009,200822963.3,740935673,989565435,920928960,848239622,7474432,2386889,719510457,994950284
31682,646721,210045681.6,192248415.9,109257431.6,402841974,32026,200845152.4,773184303,989258727,951893863,956197485,6629811,3418781,914313630,998955589
31703,656305,215708906.7,187272449.7,115184538.4,496263281,32093,200911705.2,777110501,987847817,924908560,931401991,6804053,3158611,867509669,999237008
31748,641826,219776518.3,184115105.3,119369085.9,546072628,32020,201054244.1,775589974,991505309,968482156,914812218,6922531,2990698,836881394,998977670
31768,650954,220959494.9,183292068.1,120550494.7,558465259,32173,201117562.3,777674419,987411805,942104630,910201041,6955411,2944773,828465935,998719784
31811,642092,223984682.9,180917122.8,123805132.1,589564969,32052,201253628.9,773877293,992480968,969600136,898515141,7041108,2830886,807329459,999515303
31821,649681,213735645.2,189969201.9,112510682.3,458286561,32168,201285259.2,772354369,989212882,947378132,941748668,6716811,3258989,886890554,997846613
31823,662532,222872688.9,181894696.3,122528415.4,577858150,32274,201291584.6,774847821,986025903,911039620,903168466,7003510,2874555,815713278,999480554
31837,656404,224912554.2,180439421.9,124647126.4,596968354,32238,201335857.2,785245659,987561263,928537748,895173940,7064502,2798279,801336382,998842773
31915,640718,216320361.5,188065306.9,115024065.3,494138341,32184,201582340.7,777655945,991641810,976946683,931869470,6778015,3152845,868380709,998846794
31972,639974,213687480.5,190644947.3,112086621.5,451705439,32246,201762272.8,772270531,991502822,980968377,944193232,6683582,3276669,891500859,999253193
