Bidder_Tendency,Bidding_Ratio,Successive_Outbidding,Last_Bidding,Auction_Bids,Starting_Price_Average,Early_Bidding,Winning_Ratio,Auction_Duration,Class
200000000,400000,0,277778,0,993592.814,2.77778,66666.6667,5,0
24390244,200000,0,131226852,0,993592.814,1312.26852,94444.4444,5,0
142857143,200000,0,30416667,0,993592.814,304.16667,100000,5,0
100000000,200000,0,974768519,0,993592.814,9747.68519,100000,5,0
51282051,222222.222,0,13177910,0,0,124.17328,50000,7,0
38461538,111111.111,0,168435847,0,0,1684.35847,80000,7,0
400000000,222222.222,0,67807540,0,0,677.41402,75000,7,0
137931034,444444.444,100,7680439815,0,0,1631.11772,100000,7,1
121951220,185185.185,100,350214947,333333.333,993528.095,2396.32937,94444.4444,7,1
155172414,346153.846,50,5709937169,307692.308,993592.814,41378.80291,61111.1111,7,1
600000000,562500,100,4576306217,0,0,45747.3545,60000,7,1
500000000,105263.158,0,286921296,52631.579,0,2865.41005,66666.6667,7,0
17241379,52631.579,0,576554233,52631.579,0,5765.54233,0,7,0
41322314,208333.333,100,2860449735,250000,0,28602.51323,81818.1818,7,1
142857143,41666.667,0,3873478836,250000,0,38734.78836,0,7,0
7246377,41666.667,0,5474272487,250000,0,54742.72487,0,7,0
10000000,41666.667,0,5892857143,250000,0,58928.57143,0,7,0
25641026,41666.667,0,9126388889,250000,0,91263.88889,0,7,0
172413793,185185.185,100,1337830688,333333.333,993528.095,4874.83466,93333.3333,7,1
10309278,37037.037,0,1309953704,333333.333,993528.095,13099.53704,0,7,0
250000000,111111.111,0,9946412037,0,0,64685.18519,100000,1,0
23255814,55555.556,0,9179513889,0,0,91795.13889,0,1,0
41666667,142857.143,0,1076074735,0,0,10760.74735,84210.5263,7,0
111111111,714285.714,50,555009921,0,0,5376.32275,81818.1818,7,1
250000000,52631.579,0,3339236111,52631.579,0,33392.36111,0,7,0
52631579,157894.737,0,4609656085,52631.579,0,31975.03307,79310.3448,7,0
1000000000,600000,50,2013889,0,0,4.86111,0,5,0
142857143,41666.667,0,3163580,250000,993592.814,31.6358,0,3,0
17391304,83333.333,0,6623070988,250000,993592.814,21.21914,0,3,0
1000000000,90909.091,50,9300264550,454545.455,0,92999.00794,0,7,0
45454545,30303.03,0,9741534392,454545.455,0,97415.34392,0,7,0
70175439,166666.667,0,3479205247,250000,993592.814,34788.19444,79310.3448,3,0
66666667,41666.667,0,7657638889,250000,993592.814,76576.38889,0,3,0
222222222,83333.333,0,8841319444,250000,993592.814,76565.20062,0,3,0
52631579,41666.667,0,8275617284,250000,993592.814,82756.17284,0,3,0
43478261,166666.667,0,564136905,0,0,5641.36905,80000,7,0
157894737,375000,0,5231620370,0,0,30.55556,72727.2727,5,0
571428571,666666.667,50,19758598,0,0,197.58598,100000,7,1
52631579,125000,0,245416667,0,0,2454.16667,100000,5,0
9803922,23809.524,0,9911954365,571428.571,993528.095,99119.54365,0,7,0
210526316,235294.118,0,380291,0,0,0.82672,83333.3333,7,0
481481481,260000,100,9308472222,640000,993592.814,92718.05556,66666.6667,5,1
103448276,136363.636,0,6902066799,181818.182,993592.814,69020.17196,80000,7,0
58823529,45454.545,0,1587632275,181818.182,993592.814,15876.32275,0,7,0
22727273,45454.545,0,5773578042,181818.182,993592.814,57735.78042,0,7,0
25974026,117647.059,0,115741,0,0,0.33069,83333.3333,7,0
43478261,58823.529,0,73627646,0,0,736.27646,0,7,0
71428571,25000,0,8511111111,550000,993592.814,85111.11111,0,5,0
20833333,17241.379,0,3179629630,689655.172,993592.814,31796.2963,0,1,0
25974026,34482.759,0,3190509259,689655.172,993592.814,31672.4537,0,1,0
11764706,17241.379,0,4226967593,689655.172,993592.814,42269.67593,0,1,0
34482759,17241.379,0,4928935185,689655.172,993592.814,49289.35185,0,1,0
142857143,100000,50,8670555556,550000,993592.814,86694.21296,90000,5,1
111111111,200000,0,20039683,0,0,199.07407,77777.7778,7,0
200000000,300000,0,6198578042,0,0,24477.34788,70000,7,0
83333333,50000,0,8999444444,550000,993592.814,89990.74074,0,5,0
14492754,200000,0,1697089947,0,0,14279.26587,86567.1642,7,0
181818182,50000,0,9149791667,550000,993592.814,91496.75926,0,5,0
105263158,200000,0,2637218915,0,0,26371.52778,90909.0909,7,0
125000000,100000,0,4266154101,0,0,42661.54101,100000,7,0
400000000,76923.077,0,9498819444,307692.308,0,94986.57407,0,5,0
100000000,38461.538,0,9566273148,307692.308,0,95662.73148,0,5,0
142857143,30303.03,0,49603,454545.455,993592.814,0.49603,0,7,0
10204082,30303.03,0,271494709,454545.455,993592.814,2714.94709,0,7,0
500000000,151515.152,0,7275214947,454545.455,993592.814,71303.57143,75000,7,0
40000000,200000,0,3125000,0,0,31.25,100000,3,0
10416667,76923.077,0,9649537037,0,993592.814,96495.37037,0,3,0
12987013,58823.529,0,9903472222,0,0,99034.72222,0,1,0
27027027,58823.529,0,9141358025,0,993592.814,91413.58025,0,3,0
0,58823.529,0,17129630,0,993592.814,171.2963,0,3,0
78260870,219512.195,0,9728202160,560975.61,993592.814,77915.12346,87755.102,3,0
750000000,73170.732,50,9416203704,560975.61,993592.814,94139.66049,0,3,1
25000000,58823.529,0,29205247,0,993592.814,292.05247,0,3,0
60606061,400000,0,710979,0,0,1.65344,73684.2105,7,0
54054054,400000,0,190261243,0,0,1902.1164,85714.2857,7,0
26666667,43478.261,0,7953125000,608695.652,999352.81,79528.93519,0,1,0
1000000000,235294.118,0,9455208333,0,993592.814,94543.59568,100000,3,0
15151515,33333.333,0,162037,400000,0,1.62037,0,5,0
28571429,33333.333,0,69444,400000,0,0.69444,0,5,0
333333333,33333.333,0,92593,400000,0,0.92593,0,5,0
166666667,33333.333,0,117523148,400000,0,1175.23148,0,5,0
8695652,32258.065,0,115741,419354.839,993592.814,1.15741,0,5,0
12084592,129032.258,0,543472222,419354.839,993592.814,3596.06481,84821.4286,5,0
56603774,96774.194,0,921990741,419354.839,993592.814,159.72222,0,5,0
33333333,142857.143,0,8923875661,0,0,89238.75661,100000,7,0
80000000,86956.522,0,9608564815,608695.652,999352.81,84484.9537,0,1,0
