X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Orientation_Index,SigmoidOfAreas,Class
42,50,270900,270944,267,17,44,24220,76,108,1687,1,0,80,498,2415,1818,47,4706,100,1,24265,9031,16435,8182,8182,5822,1
645,651,2538079,2538108,108,10,30,11397,84,123,1687,1,0,80,7647,3793,2069,36,6000,96.67,1,20334,7782,14624,7931,7931,2984,1
829,835,1553913,1553931,71,8,19,7972,99,125,1623,1,0,100,9710,3426,3333,37,7500,94.74,1,18513,7782,12553,6667,6667,2150,1
853,860,369370,369415,176,13,45,18996,99,126,1353,0,1,290,7287,4413,1556,52,5385,100,1,22455,8451,16532,8444,8444,5212,1
1289,1306,498078,498335,2409,60,260,246930,37,126,1353,0,1,185,695,4486,662,126,2833,98.85,1,33818,12305,24099,9338,9338,10000,1
430,441,100250,100337,630,20,87,62357,64,127,1387,0,1,40,6200,3417,1264,79,5500,100,1,27993,10414,19395,8736,8736,9874,1
413,446,138468,138883,9052,230,432,1481991,23,199,1687,0,1,150,4896,3390,795,196,1435,96.07,1,39567,15185,26181,9205,9205,10000,1
190,200,210936,210956,132,11,20,20007,124,172,1687,0,1,150,2253,3400,5000,59,9091,100,1,21206,10000,13010,5000,5000,3359,1
330,343,429227,429253,264,15,26,29748,53,148,1687,0,1,150,3912,2189,5000,77,8667,100,1,24216,11139,14150,5000,5000,5593,1
74,90,779144,779308,1506,46,167,180215,53,143,1687,0,1,150,877,4261,976,95,3478,98.2,1,31778,12041,22148,9024,9024,10000,1
106,118,813452,813500,442,13,48,50393,76,143,1687,0,1,150,1257,2326,2500,71,9231,100,1,26454,10792,16812,7500,7500,8612,1
505,515,106604,106668,284,42,69,31062,97,119,1687,0,1,150,5987,5562,1563,59,2381,92.75,1,24533,10000,18062,8438,8438,9048,1
46,58,179258,179312,480,15,54,61966,102,158,1687,0,1,150,545,2593,2222,71,8000,100,1,26812,10792,17324,7778,7778,9093,1
581,590,230644,230704,433,22,60,38917,62,111,1687,0,1,150,6888,1981,1500,53,4091,100,1,26365,9542,17781,8500,8500,8299,1
