V1,V2,V3,V4,V5,V6,V7,V8,Class
58,61,47,13,50,0,48,22,9
43,67,48,27,50,0,53,22,9
64,62,49,15,50,0,53,22,9
58,44,57,13,50,0,54,22,10
42,44,48,54,50,0,48,22,9
51,40,56,17,50,50,49,22,1
50,54,48,65,50,0,53,22,9
48,45,59,20,50,0,58,34,10
55,50,66,36,50,0,49,22,9
40,39,60,15,50,0,58,30,1
43,39,54,21,50,0,53,27,10
42,37,59,20,50,0,52,29,10
40,42,57,35,50,0,53,25,1
60,40,52,46,50,0,53,22,9
66,55,45,19,50,0,46,22,9
46,44,52,11,50,0,50,22,1
47,39,50,11,50,0,49,40,1
58,47,54,11,50,0,51,26,10
50,34,55,21,50,0,49,22,10
61,60,55,21,50,0,50,25,10
45,40,50,16,50,0,50,22,1
43,44,48,22,50,0,51,22,1
73,63,42,30,50,0,49,22,1
43,53,52,13,50,0,55,22,1
46,53,52,15,50,0,58,22,1
51,51,52,51,50,0,54,22,9
59,45,53,19,50,0,59,27,1
57,47,60,18,50,0,51,22,1
63,67,57,24,50,0,49,22,9
80,88,36,39,50,0,56,33,6
53,54,43,10,50,0,57,32,10
51,51,43,87,50,0,52,22,9
38,61,61,12,50,0,53,47,1
33,55,51,43,50,0,51,22,10
78,74,42,26,50,0,43,22,6
74,67,47,34,50,0,42,22,5
72,61,45,30,50,0,54,25,9
40,45,57,18,50,0,56,26,1
59,53,43,44,50,0,50,22,9
57,53,53,34,50,0,53,22,9
86,68,39,24,50,0,54,22,7
86,74,51,40,50,0,55,22,7
79,57,41,28,50,0,59,22,7
41,54,39,20,50,0,51,22,8
37,36,56,18,50,0,48,26,3
53,31,58,39,50,0,47,37,10
74,75,58,47,50,0,40,35,7
49,39,52,29,50,0,48,22,5
74,57,51,28,50,0,58,22,3
42,24,34,16,50,0,50,22,8
48,39,51,21,50,0,52,28,1
41,53,45,14,50,0,52,66,8
45,46,55,43,50,0,55,38,10
56,48,58,27,50,0,51,22,1
64,59,56,23,50,0,46,22,1
64,56,56,22,50,0,45,22,1
66,62,49,10,50,0,49,22,1
53,44,51,33,50,0,55,22,1
38,49,53,19,50,0,50,22,1
45,58,48,67,50,0,52,22,9
43,35,52,52,50,0,54,22,9
37,32,47,18,50,0,45,25,10
48,43,51,32,50,0,52,43,10
41,46,59,19,50,0,58,27,10
54,48,44,8,50,0,52,27,1
60,47,45,22,50,0,51,29,1
34,46,57,9,50,0,55,22,1
48,54,55,12,50,0,51,22,1
47,39,59,15,50,0,57,22,1
81,85,47,37,50,0,56,22,5
48,42,52,24,50,0,56,22,1
58,51,49,27,50,0,57,29,1
60,50,44,61,50,0,47,22,9
45,55,54,66,50,0,47,22,9
46,49,58,23,50,0,44,22,9
49,42,56,55,50,0,42,25,9
63,53,54,40,50,0,50,22,9
50,54,53,54,50,0,51,27,9
63,57,59,40,50,0,38,22,9
43,57,51,49,50,0,48,22,9
48,45,55,50,50,0,53,22,9
50,58,46,46,50,0,46,22,9
51,54,60,57,50,0,58,22,9
54,52,63,37,50,0,46,22,9
67,62,40,43,50,83,50,22,9
28,58,21,13,50,0,51,22,8
39,44,35,16,50,0,55,22,8
80,63,45,29,50,0,51,22,5
50,52,59,30,50,0,51,35,10
42,47,52,41,50,0,53,32,1
36,46,62,46,50,0,51,33,1
46,38,47,22,50,0,52,27,9
40,45,56,20,50,0,45,22,1
33,43,64,16,50,0,52,52,10
49,61,49,25,50,0,50,28,1
38,50,37,26,50,0,43,22,8
69,70,52,36,50,0,46,22,5
61,72,39,33,50,0,58,22,9
78,75,40,28,50,0,53,22,9
64,57,57,27,50,0,37,22,1
36,58,35,24,50,0,44,22,8
36,43,39,12,50,0,49,22,8
47,52,50,40,50,0,41,22,1
48,23,57,27,50,0,48,47,10
47,39,55,24,50,0,47,22,1
44,59,36,16,50,0,52,22,8
42,35,54,18,50,0,56,22,1
30,56,55,18,50,0,50,22,1
65,65,52,16,50,0,60,22,1
27,60,48,23,50,0,55,22,1
45,41,50,46,50,50,50,27,2
44,52,41,23,50,0,51,22,10
30,32,57,19,50,0,48,55,10
40,44,49,47,50,0,49,27,10
45,51,50,16,50,0,52,100,10
45,45,50,60,50,0,49,22,9
59,67,56,41,50,0,47,22,9
47,47,57,48,50,0,48,22,9
35,52,48,22,50,0,26,22,9
